Sample.Label,species,object_id,distance_cat,Urban,Coniferous,Broadleaf,MountainHeathBog,Freshwater
302,B,669,5,0,30,0,66,0
304,B,674,15,0,11,1,49,0
305,B,675,15,0,0,0,39,1
307,B,678,45,0,40,27,10,0
308,B,682,45,0,62,0,0,0
308,B,683,105,0,62,0,0,0
308,B,684,125,0,62,0,0,0
308,B,686,75,0,62,0,0,0
308,B,687,25,0,62,0,0,0
311,B,694,35,0,0,0,6,1
311,B,697,45,0,0,0,6,1
314,B,700,25,0,0,16,76,0
319,B,707,25,0,0,0,2,0
319,B,708,15,0,0,0,2,0
323,B,714,85,0,0,0,45,0
324,B,717,15,0,0,0,0,0
327,B,722,25,0,60,4,21,0
327,B,723,85,0,60,4,21,0
327,B,724,25,0,60,4,21,0
327,B,725,75,0,60,4,21,0
328,B,729,25,0,0,0,100,0
337,B,751,75,0,0,0,98,0
339,B,753,85,0,63,0,32,0
339,B,755,75,0,63,0,32,0
339,B,757,35,0,63,0,32,0
339,B,758,75,0,63,0,32,0
339,B,759,65,0,63,0,32,0
340,B,762,95,0,0,0,8,0
342,B,766,165,0,96,3,0,0
342,B,768,25,0,96,3,0,0
342,B,771,105,0,96,3,0,0
342,B,773,25,0,96,3,0,0
342,B,774,85,0,96,3,0,0
346,B,782,95,1,2,15,0,0
347,B,783,15,0,0,5,16,69
348,B,785,95,0,99,1,0,0
349,B,788,55,0,0,0,86,0
350,B,790,45,0,0,0,0,0
352,B,794,15,0,9,0,90,0
352,B,795,115,0,9,0,90,0
353,B,798,35,0,1,0,98,0
353,B,800,15,0,1,0,98,0
356,B,805,5,0,0,0,1,0
356,B,807,5,0,0,0,1,0
357,B,808,15,0,0,0,48,0
361,B,811,25,2,0,11,0,0
364,B,815,25,0,0,14,0,0
364,B,818,35,0,0,14,0,0
365,B,821,15,0,0,0,23,0
366,B,824,55,0,24,0,48,0
367,B,826,15,1,0,0,0,0
367,B,829,55,1,0,0,0,0
368,B,833,15,0,33,1,47,0
368,B,835,25,0,33,1,47,0
370,B,839,15,0,24,0,11,0
376,B,853,15,0,0,0,2,0
379,B,856,15,0,0,0,79,0
379,B,859,65,0,0,0,79,0
383,B,866,75,0,27,6,1,0
387,B,871,5,0,0,0,8,0
388,B,874,95,2,1,38,0,0
389,B,875,15,0,0,0,0,0
392,B,878,5,2,0,39,0,0
392,B,879,25,2,0,39,0,0
392,B,880,5,2,0,39,0,0
393,B,883,75,0,43,0,13,0
393,B,884,95,0,43,0,13,0
393,B,885,65,0,43,0,13,0
394,B,887,15,0,0,0,0,0
395,B,888,35,0,80,0,16,0
395,B,889,45,0,80,0,16,0
396,B,892,25,0,0,0,17,0
398,B,896,25,0,64,16,0,0
400,B,901,95,0,6,50,15,19
401,B,902,15,0,0,2,42,0
402,B,905,5,2,0,46,0,0
402,B,906,25,2,0,46,0,0
408,B,914,15,0,0,0,72,0
412,B,920,35,0,0,1,0,0
414,B,923,25,0,79,0,20,1
417,B,934,5,0,0,0,34,0
417,B,935,25,0,0,0,34,0
419,B,941,5,0,0,1,56,0
419,B,942,35,0,0,1,56,0
420,B,944,15,0,0,1,50,0
420,B,946,5,0,0,1,50,0
421,B,947,35,1,0,13,0,0
421,B,948,45,1,0,13,0,0
422,B,951,5,0,14,0,48,0
423,B,956,115,0,7,0,0,0
424,B,957,55,0,40,24,12,0
424,B,959,185,0,40,24,12,0
425,B,960,25,4,0,2,0,0
428,B,966,35,4,6,20,1,0
430,B,968,5,0,100,0,0,0
430,B,969,135,0,100,0,0,0
430,B,971,95,0,100,0,0,0
430,B,973,5,0,100,0,0,0
430,B,976,65,0,100,0,0,0
430,B,977,65,0,100,0,0,0
431,B,978,35,0,0,0,98,0
435,B,986,45,0,92,8,0,0
436,B,993,145,1,55,11,3,0
436,B,996,75,1,55,11,3,0
437,B,998,5,0,66,0,34,0
437,B,1001,45,0,66,0,34,0
437,B,1002,35,0,66,0,34,0
437,B,1004,15,0,66,0,34,0
438,B,1006,85,0,54,1,41,0
438,B,1010,55,0,54,1,41,0
439,B,1013,15,0,19,0,1,0
440,B,1017,35,0,0,0,99,0
441,B,1021,25,11,11,31,0,0
444,B,1025,15,0,7,18,0,0
444,B,1026,55,0,7,18,0,0
446,B,1030,105,0,41,10,42,0
446,B,1032,35,0,41,10,42,0
446,B,1033,5,0,41,10,42,0
446,B,1036,85,0,41,10,42,0
446,B,1037,35,0,41,10,42,0
447,B,1039,5,0,0,0,0,0
450,B,1041,75,0,0,32,0,0
450,B,1042,95,0,0,32,0,0
452,B,1044,45,0,0,75,0,6
455,B,1049,25,0,0,0,8,0
457,B,1054,5,0,6,0,1,0
459,B,1058,15,0,0,0,35,0
461,B,1062,5,0,0,0,0,0
461,B,1064,85,0,0,0,0,0
462,B,1065,25,3,0,8,0,0
466,B,1073,5,8,0,25,0,0
469,B,1077,65,0,0,46,0,6
469,B,1078,75,0,0,46,0,6
471,B,1082,65,0,10,2,88,0
473,B,1086,35,1,0,0,16,10
476,B,1089,85,0,0,30,28,3
477,B,1091,45,0,0,0,0,0
483,B,1100,85,1,2,9,5,0
484,B,1103,45,1,0,10,3,1
484,B,1104,25,1,0,10,3,1
485,B,1108,5,0,2,6,0,0
487,B,1115,55,0,0,8,0,1
489,B,1117,95,0,93,4,3,0
489,B,1118,45,0,93,4,3,0
489,B,1119,125,0,93,4,3,0
489,B,1120,45,0,93,4,3,0
489,B,1121,55,0,93,4,3,0
489,B,1123,45,0,93,4,3,0
491,B,1128,15,1,0,0,0,0
495,B,1139,115,4,0,11,0,0
497,B,1144,15,0,0,0,51,0
499,B,1146,25,0,0,0,0,0
501,B,1153,15,0,0,0,62,0
504,B,1158,35,1,3,7,0,0
505,B,1160,125,0,97,0,1,0
505,B,1161,65,0,97,0,1,0
505,B,1163,55,0,97,0,1,0
505,B,1164,95,0,97,0,1,0
506,B,1167,125,0,79,0,0,0
506,B,1168,25,0,79,0,0,0
506,B,1169,45,0,79,0,0,0
506,B,1171,135,0,79,0,0,0
506,B,1172,65,0,79,0,0,0
506,B,1173,115,0,79,0,0,0
507,B,1174,55,0,13,0,84,0
508,B,1177,5,0,38,0,45,1
510,B,1181,35,0,66,6,1,0
510,B,1183,105,0,66,6,1,0
512,B,1188,65,0,94,0,6,0
512,B,1191,35,0,94,0,6,0
513,B,1193,45,0,78,0,21,0
513,B,1195,15,0,78,0,21,0
514,B,1197,195,0,99,0,1,0
514,B,1199,195,0,99,0,1,0
514,B,1201,125,0,99,0,1,0
515,B,1203,75,0,16,0,3,0
515,B,1204,5,0,16,0,3,0
516,B,1208,15,41,0,35,0,0
516,B,1210,5,41,0,35,0,0
524,B,1231,55,0,0,1,0,0
525,B,1234,35,0,59,0,0,0
526,B,1236,15,0,51,0,49,0
526,B,1237,5,0,51,0,49,0
528,B,1243,115,0,75,2,5,0
528,B,1245,55,0,75,2,5,0
529,B,1246,5,0,75,11,0,2
529,B,1247,5,0,75,11,0,2
529,B,1248,105,0,75,11,0,2
529,B,1249,185,0,75,11,0,2
529,B,1250,55,0,75,11,0,2
529,B,1252,35,0,75,11,0,2
529,B,1253,35,0,75,11,0,2
532,B,1257,45,0,0,36,0,0
533,B,1258,35,0,96,0,0,0
533,B,1261,5,0,96,0,0,0
533,B,1262,125,0,96,0,0,0
533,B,1264,35,0,96,0,0,0
533,B,1265,135,0,96,0,0,0
536,B,1267,35,2,0,0,0,0
537,B,1271,55,0,51,23,14,0
538,B,1272,25,73,0,0,0,0
541,B,1275,5,50,0,23,0,0
543,B,1277,5,35,0,15,0,0
546,B,1284,35,0,0,0,18,0
548,B,1289,35,1,0,22,0,0
549,B,1290,25,3,0,2,0,0
555,B,1295,25,6,0,11,1,0
557,B,1300,55,0,61,0,33,0
557,B,1301,135,0,61,0,33,0
557,B,1303,15,0,61,0,33,0
557,B,1304,45,0,61,0,33,0
562,B,1314,35,0,0,0,68,0
563,B,1315,75,13,0,12,0,0
563,B,1316,45,13,0,12,0,0
565,B,1321,35,0,99,0,1,0
565,B,1322,105,0,99,0,1,0
565,B,1323,115,0,99,0,1,0
565,B,1324,105,0,99,0,1,0
565,B,1326,75,0,99,0,1,0
565,B,1327,165,0,99,0,1,0
567,B,1331,5,3,17,13,0,0
567,B,1332,15,3,17,13,0,0
567,B,1333,45,3,17,13,0,0
567,B,1335,35,3,17,13,0,0
568,B,1336,15,2,15,13,5,0
568,B,1337,25,2,15,13,5,0
570,B,1342,5,1,0,4,0,0
571,B,1346,75,0,0,15,12,2
577,B,1361,15,0,0,0,99,0
579,B,1365,15,0,1,0,42,0
584,B,1379,45,0,0,12,0,0
586,B,1385,15,0,0,0,16,0
586,B,1386,5,0,0,0,16,0
588,B,1392,145,0,13,5,1,0
591,B,1394,5,69,0,19,0,0
591,B,1397,15,69,0,19,0,0
592,B,1402,25,0,58,0,42,0
593,B,1406,55,0,0,11,0,0
594,B,1410,15,0,0,0,2,0
594,B,1412,25,0,0,0,2,0
596,B,1419,35,4,0,21,1,0
596,B,1422,55,4,0,21,1,0
597,B,1425,5,0,1,0,20,0
597,B,1427,55,0,1,0,20,0
597,B,1428,45,0,1,0,20,0
599,B,1431,115,1,0,16,0,0
601,B,1435,55,0,0,0,1,0
605,B,1439,5,0,0,0,58,0
606,B,1441,5,2,4,2,0,0
606,B,1442,5,2,4,2,0,0
607,B,1443,45,0,46,5,4,0
610,B,1447,65,1,1,0,0,0
610,B,1449,35,1,1,0,0,0
611,B,1451,45,1,0,1,0,0
612,B,1454,55,0,0,0,0,0
613,B,1455,5,0,0,15,3,0
615,B,1460,25,0,26,2,0,0
617,B,1465,5,0,0,1,0,0
619,B,1468,45,0,4,2,5,0
619,B,1469,5,0,4,2,5,0
621,B,1474,35,0,0,0,71,0
622,B,1477,45,0,3,2,0,0
623,B,1479,5,2,1,3,0,0
625,B,1485,5,0,0,0,28,0
628,B,1488,15,0,0,0,0,0
633,B,1495,25,0,75,0,25,0
633,B,1497,95,0,75,0,25,0
638,B,1507,55,15,0,13,3,0
642,B,1514,15,0,16,0,17,0
644,B,1517,25,4,0,15,0,0
645,B,1522,65,0,66,0,34,0
651,B,1532,45,0,13,0,64,0
652,B,1533,5,0,49,0,6,44
